;.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
; (c) Translated to Russian by Konstantin Galichsky
;

;.TYPESET Garmin

; The Language ID for Russian defined by Microsoft
;
;.LANGID 0x419

; The Code Page ID for Cyrillics defined by Microsoft
;
;.CODEPAGE 1251

;========================================================================================

; Placeholder for unknown type
;
;.UNKNOWN  Тип не опредёлен

;========================================================================================

.POI

; Cities arranged by population
0x0100	Мегаполис (свыше 10 млн.)
0x0200	Мегаполис (5-10 млн.)
0x0300	Крупный город (2-5 млн.)
0x0400	Крупный город (1-2 млн.)
0x0500	Крупный город (0.5-1 млн.)
0x0600	Город (200-500 тыс.)
0x0700	Город (100-200 тыс.)
0x0800	Город (50-100 тыс.)
0x0900	Город (20-50 тыс.)
0x0a00	Город (10-20 тыс.)
0x0b00	Населённый пункт (5-10 тыс.)
0x0c00	Населённый пункт (2-5 тыс.)
0x0d00	Населённый пункт (1-2 тыс.)
0x0e00	Поселок (500-1000)
0x0f00	Поселок (200-500)
0x1000	Поселок (100-200)
0x1100	Поселок (менее 100)

; Labels without icons
0x1400	Название крупного государства
0x1500	Название малого государства
0x1e00	Название области, провинции, штата
0x1f00	Название района, округа
0x2800	Надпись

; Marine features
0x1200	Пристань с инфраструктурой

; NOTE: the marine navigation POIs listed below are automaticaly duplicated to point codes 0x16xx-0x1bxx
0x1600	Маяк
0x1601	Туманный ревун
0x1602	Радиомаяк
0x1603	Радиомаяк-ответчик
0x1604	Дневной маяк (красный треугольник)
0x1605	Дневной маяк (зелёный квадрат)
0x1606	Дневной маяк (белый ромб)
0x1607	Несветящийся маяк белый
0x1608	Несветящийся маяк красный
0x1609	Несветящийся маяк зелёный
0x160a	Несветящийся маяк черный
0x160b	Несветящийся маяк желтый
0x160c	Несветящийся маяк оражевый
0x160d	Несветящийся маяк многоцветный
0x160e	Светящийся маяк
0x160f	Светящийся маяк белый
0x1610	Светящийся маяк красный
0x1611	Светящийся маяк зелёный
0x1612	Светящийся маяк желтый
0x1613	Светящийся маяк оранжевый
0x1614	Светящийся маяк фиолетовый
0x1615	Светящийся маяк синий
0x1616	Светящийся маяк многоцветный

0x1c00	Неклассифицированная водная преграда
0x1c01	Видимые обломки кораблекрушения
0x1c02	Затопленные обломки, опасные
0x1c03	Затопленные обломки, не опасные
0x1c04	Обломки, очищенные тралом
0x1c05	Преграда, видимая при высокой воде
0x1c06	Преграда на уровне воды
0x1c07	Преграда ниже уровня воды
0x1c08	Преграда, очищенная тралом
0x1c09	Рифы на уровне воды
0x1c0a	Подводные рифы
0x1c0b	Риск сесть на мель

; Tide table prediction used in marine maps
0x1d00	Расписание приливов

; NOTE: "HW Exit" is highway infrastructure complex object (gas station + car wash + motel + WC + dining + etc)
0x2000	Съезд с шоссе
0x2100	Съезд с шоссе с инфраструктурой
0x210F	Съезд к сервису
0x2200	Съезд к туалету 
0x2300	Съезд к магазину
0x2400	Съезд к весовой станции
0x2500	Съезд платный
0x2600	Съезд к справочной
0x2700	Съезд с шоссе

0x2900	Прочие организации

0x2a00	Предприятие питания
0x2a01	Ресторан (американская кухня)
0x2a02	Ресторан (азиатская кухня)
0x2a03	Ресторан (шашлык)
0x2a04	Ресторан (китайская кухня)
0x2a05	Ресторан (деликатесы, торты, пирожные)
0x2a06	Ресторан (интернациональная кухня)
0x2a07	Ресторан быстрого питания
0x2a08	Ресторан (итальянская кухня)
0x2a09	Ресторан (мексиканская кухня)
0x2a0a	Пиццерия
0x2a0b	Ресторан (морепродукты)
0x2a0c	Ресторан (гриль)
0x2a0d	Общепит (кондитерские изделия)
0x2a0e	Кафе
0x2a0f	Ресторан (французская кухня)
0x2a10	Ресторан (немецкая кухня)
0x2a11	Ресторан (британская островная кухня)
0x2a12	Специальные пищевые продукты

0x2b00	Гостиница
0x2b01	Отель или мотель
0x2b02	Отель с завтраком
0x2b03	Кемпинг
0x2b04	Курортный отель, дом отдыха

0x2c00	Объект культуры, досуга
0x2c01	ПКиО
0x2c02	Музей
0x2c03	Библиотека
0x2c04	Достопримечательность
0x2c05	Школа
0x2c06	Парк/Сад
0x2c07	Зоопарк/Аквариум
0x2c08	Стадион
0x2c09	Зал
0x2c0a	Дегустация вин
0x2c0b	Храм/Мечеть/Синагога

0x2d00	Развлекательное заведение
0x2d01	Театр
0x2d02	Бар/Ночной клуб
0x2d03	Кинотеатр
0x2d04	Казино
0x2d05	Гольф-клуб
0x2d06	Лыжный центр/курорт
0x2d07	Боулинг-центр
0x2d08	Каток
0x2d09	Бассейн
0x2d0a	Спортзал/Фитнес-центр
0x2d0b	Спортивный аэродром

0x2e00	Торговый объект
0x2e01	Универмаг
0x2e02	Продовольственный магазин
0x2e03	Торговая фирма
0x2e04	Торговый центр
0x2e05	Аптека
0x2e06	Товары повседневного спроса
0x2e07	Одежда
0x2e08	Товары для дома и сада
0x2e09	Мебель/Товары для дома
0x2e0a	Специализированный магазин
0x2e0b	Компьютеры/ПО

0x2f00	Услуги
0x2f01	АЗС
0x2f02	Аренда автомобилей
0x2f03	Автосервис
0x2f04	Аэровокзал
0x2f05	Почтовое отделение
0x2f06	Банк
0x2f07	Автомагазин
0x2f08	Станция/остановка наземного транспорта
0x2f09	Ремонт и хранение лодок, катеров, яхт
0x2f0a	Аварийная служба, техпомощь, эвакуатор
0x2f0b	Автостоянка
0x2f0c	Зона отдыха, информация для туристов
0x2f0d	Автоклуб
0x2f0e	Автомойка
0x2f0f	Дилер фирмы Garmin
0x2f10	Служба быта (прачечная, химчистка)
0x2f11	Бизнес-сервис
0x2f12	Пункт связи
0x2f13	Бюро ремонта
0x2f14	Собес
0x2f15	Коммунальные службы
0x2f16	Стоянка грузовиков
0x2f17	Остановка общественного транспорта

